1-1,1-2,1-3,2-1,2-2,2-3,3-1,3-2,4-1,5-1,5-2,5-3,6-1
,,,,,,,231.238,,,,,
,,,,,,,232.287,,,,,
,,,,,,,233.387,,,,,
,,,,,,,234.370,,,,,
,,,,,,,235.553,,,,,
,,,,,,,236.603,,,,,
,,,,,,,237.786,,,,,
,,,,,,,238.886,,,,,
,,,,,,,240.004,,,,,
,,,,,,,241.004,,,,,
,,,,,,,242.187,,,,,
,,,,,,,243.319,,,,,
,,,,,,,243.870,,,,,
,,,,,,,244.436,,,,,
,,,,,,,244.987,,,,,
,,,,,,,245.537,,,,,
,,,,,,,246.104,,,,,
,,,,,,,246.687,,,,,
,,,,,,,247.254,,,,,
,,,,,,,247.836,,,,,
,,,,,,,248.387,,,,,
,,,,,,,248.903,,,,,
,,,,,,,249.488,,,,,
,,,,,,,250.036,,,,,
,,,,,,,250.536,,,,,
